"1"	20
"10"	46
"100"	25
"101"	55
"102"	678
"103"	94
"104"	76
"105"	525
"106"	45
"107"	32
"108"	31
"109"	23
"11"	38
"110"	120
"111"	341
"112"	21
"113"	27
"114"	25
"115"	41
"116"	25
"117"	55
"118"	189
"119"	641
"12"	61
"120"	138
"121"	80
"122"	40
"123"	33
"124"	85
"125"	210
"126"	64
"127"	21
"128"	323
"129"	26
"13"	53
"130"	375
"131"	44
"132"	94
"133"	178
"134"	311
"135"	22
"136"	50
"137"	80
"138"	81
"139"	68
"14"	20
"140"	46
"141"	31
"142"	61
"143"	77
"144"	41
"145"	38
"146"	73
"147"	38
"148"	132
"149"	231
"15"	1700
"150"	413
"151"	64
"152"	218
"153"	51
"154"	26
"155"	51
"156"	45
"157"	326
"158"	21
"159"	148
"16"	29
"160"	100
"161"	90
"162"	30
"163"	81
"164"	82
"165"	487
"166"	56
"167"	24
"168"	116
"169"	113
"17"	363
"170"	26
"171"	48
"172"	24
"173"	40
"174"	21
"175"	125
"176"	256
"177"	224
"178"	130
"179"	38
"18"	51
"180"	24
"181"	27
"182"	131
"183"	41
"184"	45
"185"	204
"186"	42
"187"	324
"188"	100
"189"	176
"19"	423
"190"	60
"191"	29
"192"	55
"193"	66
"194"	50
"195"	485
"196"	99
"197"	63
"198"	75
"199"	422
"2"	76
"20"	98
"200"	253
"201"	122
"202"	76
"203"	37
"204"	31
"205"	206
"206"	39
"207"	46
"208"	48
"209"	20
"21"	162
"210"	32
"211"	55
"212"	876
"213"	910
"214"	214
"215"	54
"216"	82
"217"	104
"218"	42
"219"	138
"22"	220
"220"	289
"221"	20
"222"	88
"223"	36
"224"	88
"225"	28
"226"	36
"227"	26
"228"	60
"229"	33
"23"	726
"230"	94
"231"	32
"232"	682
"233"	36
"234"	115
"235"	155
"236"	224
"237"	44
"238"	91
"239"	291
"24"	21
"240"	230
"241"	56
"242"	399
"243"	307
"244"	74
"245"	125
"246"	26
"247"	285
"248"	99
"249"	20
"25"	26
"250"	155
"251"	119
"252"	38
"253"	205
"254"	141
"255"	145
"256"	27
"257"	103
"258"	32
"259"	28
"26"	172
"260"	41
"261"	50
"262"	676
"263"	114
"264"	33
"265"	183
"266"	39
"267"	41
"268"	400
"269"	25
"27"	23
"270"	229
"271"	72
"272"	39
"273"	92
"274"	39
"275"	202
"276"	21
"277"	58
"278"	53
"279"	57
"28"	50
"280"	22
"281"	82
"282"	127
"283"	189
"284"	52
"285"	422
"286"	43
"287"	254
"288"	75
"289"	20
"29"	22
"290"	67
"291"	87
"292"	278
"293"	79
"294"	947
"295"	236
"296"	20
"297"	138
"298"	75
"299"	367
"3"	51
"30"	1011
"300"	44
"301"	23
"302"	35
"303"	223
"304"	113
"305"	29
"306"	645
"307"	72
"308"	61
"309"	128
"31"	69
"310"	20
"311"	1019
"312"	284
"313"	302
"314"	34
"315"	55
"316"	140
"317"	22
"318"	59
"319"	20
"32"	48
"320"	58
"321"	75
"322"	43
"323"	23
"324"	151
"325"	20
"326"	27
"327"	63
"328"	170
"329"	22
"33"	138
"330"	95
"331"	25
"332"	32
"333"	81
"334"	34
"335"	23
"336"	31
"337"	20
"338"	57
"339"	105
"34"	187
"340"	39
"341"	22
"342"	187
"343"	42
"344"	177
"345"	214
"346"	329
"347"	22
"348"	53
"349"	23
"35"	20
"350"	168
"351"	40
"352"	84
"353"	521
"354"	52
"355"	308
"356"	21
"357"	30
"358"	617
"359"	46
"36"	104
"360"	38
"361"	70
"362"	119
"363"	201
"364"	36
"365"	70
"366"	34
"367"	217
"368"	21
"369"	51
"37"	32
"370"	100
"371"	161
"372"	33
"373"	219
"374"	33
"375"	25
"376"	59
"377"	25
"378"	147
"379"	71
"38"	111
"380"	1063
"381"	110
"382"	314
"383"	62
"384"	485
"385"	99
"386"	121
"387"	279
"388"	792
"389"	51
"39"	62
"390"	153
"391"	113
"392"	25
"393"	51
"394"	205
"395"	23
"396"	141
"397"	59
"398"	53
"399"	20
"4"	204
"40"	43
"400"	58
"401"	72
"402"	319
